z,m500
0.010676810638673817, 0.5226868772272767
0.01341512287823357, 0.5676882492711621
0.01612607138701802, 0.6313850859156134
0.019558388168526147, 0.7140290460327493
0.023288043126963504, 0.7929279270127617
0.027342830917999328, 0.857302374139694
0.0327272374697814, 0.9482826417066961
0.03888084495753236, 1.0443283394317953
0.045803653381252196, 1.155156530995657
0.054264863676909775, 1.2890021334945372
0.06272607397256733, 1.4071612749341524
0.07349488707613153, 1.5542211406566766
0.0884393624035267, 1.7195201819050583
0.10041691983504197, 1.8784671229099097
0.11503173761845048, 2.0797856353674433
0.13195415820976564, 2.2425469905280115
0.1488765788010808, 2.4055464258186947
0.1657989993923959, 2.5721769040515152
0.18272141998371105, 2.723074287913568
0.1996438405750262, 2.8690657114284295
0.2165662611663413, 3.006059528913963
0.23348868175765647, 3.1458299713283617
0.2504111023489716, 3.290787033811391
0.2673335229402867, 3.438308942489061
0.2842559435316019, 3.569602169851072
0.30117836412291704, 3.67501275436989
0.31810078471423214, 3.7669805036027166
0.3350232053055473, 3.855097305890393
0.35194562589686246, 3.94370280231311
0.36886804648817756, 4.027916545440031
0.38579046707949266, 4.112288839841674
0.4027128876708079, 4.185059712174628
0.419635308262123, 4.265915576300623
0.4365577288534381, 4.3483335855842
0.4534801494447533, 4.42528149477577
0.4704025700360684, 4.498208035323755
0.4873249906273835, 4.563231325465948
0.5042474112186988, 4.614454135197647
0.5211698318100138, 4.653248222751697
0.538092252401329, 4.684891710295162
0.5550146729926442, 4.720512677155672
0.5719370935839592, 4.752613583221246
0.5888595141752744, 4.76589496829385
0.6057819347665896, 4.802131832926858
0.6227043553579046, 4.804046650267495
0.6396267759492198, 4.838644219863056
0.656549196540535, 4.8463663426687384
0.67347161713185, 4.8463663426687384
0.6903940377231652, 4.852166021286217
0.7073164583144804, 4.875434224000566
0.7242388789057954, 4.90076737635626
0.7411612994971106, 4.936061504977119
0.7580837200884258, 4.975575394811678
0.7750061406797408, 5.005418255402012
0.791928561271056, 5.0294213678523825
0.8088509818623713, 5.063622945929893
0.8257734024536862, 5.085877215783723
0.8426958230450015, 5.108229291602182
0.8596182436363167, 5.128634595143788
0.8765406642276319, 5.15322858242372
0.8934630848189469, 5.15322858242372
0.9103855054102621, 5.15322858242372
0.9273079260015773, 5.15322858242372
0.9442303465928923, 5.15322858242372
0.9611527671842075, 5.151174586663845
0.9780751877755227, 5.13067960323566
0.9934592064948999, 5.128180259606273
